team_id,team_name,public_leaderboard_rank,private_leaderboard_rank
1001,Complainers,49.0,44.0
1002,DrInequality,165.0,149.0
1003,CogniwareZares,31.0,33.0
1004,szlevente,121.0,120.0
1005,Morphology,213.0,215.0
1006,piaomiao,37.0,108.0
1007,PEW,1.0,5.0
1008,SPP,175.0,184.0
1009,Bayes Rules,93.0,91.0
1010,EdwardCollins,152.0,151.0
1011,Zultan,47.0,46.0
1012,Yozan ace,140.0,141.0
1013,A.R.S.,166.0,161.0
1014,asteroid blues,24.0,13.0
1015,Elefante33,110.0,94.0
1016,Freefal,138.0,136.0
1017,Adam,235.0,232.0
1018,unguru,125.0,122.0
1019,Uff Da,59.0,74.0
1020,FTN,214.0,216.0
1021,Geaux Tigers,55.0,55.0
1022,Just For Fun,4.0,14.0
1023,optimas,158.0,179.0
1024,ipopescu,122.0,113.0
1025,longfellow,124.0,111.0
1026,Blue Devils,91.0,81.0
1027,jtrigg,19.0,34.0
1028,Andorra,54.0,88.0
1029,ncray,8.0,21.0
1030,CCCP,118.0,96.0
1031,WillMining,25.0,40.0
1032,ole_team,29.0,60.0
1033,stratometrics,9.0,5.0
1034,PhilD,105.0,97.0
1035,Zugzwang,232.0,236.0
1036,Chessmetrics Benchmark,21.0,37.0
1037,c8882525,246.0,246.0
1038,dejavu,3.0,1.0
1039,WigginsShadow,128.0,119.0
1040,investor,92.0,122.0
1041,team555,147.0,155.0
1042,Efficient Guesstimator,116.0,103.0
1043,seantime,27.0,23.0
1044,Yan Papadakis,142.0,114.0
1045,family_guy,77.0,101.0
1046,shahrdar,136.0,117.0
1047,Black Box,96.0,112.0
1048,Memphis_TN,111.0,126.0
1049,HiBa,65.0,75.0
1050,Jiahan Li,14.0,22.0
1051,acceptablelies,82.0,69.0
1052,closer,39.0,42.0
1053,jtrigg,6.0,2.0
1054,cubsnsox,114.0,52.0
1055,bubac,,
1057,Procrastination,134.0,127.0
1058,pivot,24.0,29.0
1059,Data Diggers,4.0,12.0
1060,Aryabhatta,59.0,34.0
1061,Ciudad_Inmovil,3.0,17.0
1062,linkers,5.0,14.0
1063,sayani,22.0,19.0
1064,PCA Benchmark,108.0,152.0
1065,NoFI,86.0,96.0
1066,sebtak,197.0,196.0
1067,zqzir,30.0,31.0
1068,Seyhan,65.0,56.0
1069,image_doctor,54.0,54.0
1070,Reversi,48.0,62.0
1071,asdf,148.0,147.0
1072,Terran,88.0,58.0
1073,chessklok,55.0,43.0
1074,uqwn,22.0,11.0
1075,riddles,130.0,128.0
1076,All Blacks,38.0,34.0
1077,prashant215,106.0,76.0
1078,FJ_TEAM,46.0,37.0
1079,Equipo01,17.0,10.0
1080,Just For Fun,13.0,11.0
1081,gps,19.0,8.0
1082,are,42.0,38.0
1083,PRPILS,69.0,89.0
1084,ChachyJohn,28.0,27.0
1085,Chess Master,237.0,237.0
1086,Explorer,183.0,225.0
1087,axct,,
1088,predict,81.0,78.0
1089,Thinker,193.0,181.0
1090,Constanza Cuervo,51.0,52.0
1091,One Million Monkeys,20.0,38.0
1092,vyatka,,
1093,trilobite,137.0,130.0
1094,PAYALE,109.0,118.0
1095,JGB,52.0,51.0
1096,sunsnowad,32.0,26.0
1097,Glicko Benchmark,72.0,68.0
1098,alegro,23.0,25.0
1099,gimbo,11.0,7.0
1100,Glicko 2 Benchmark,71.0,67.0
1101,testname,5.0,10.0
1102,Luis Manuel Pulido,34.0,31.0
1103,ncooper,204.0,205.0
1105,lonhro,30.0,22.0
1106,MaoFer,43.0,45.0
1107,julioxa69,50.0,50.0
1108,Real Glicko,69.0,58.0
1109,GTH,16.0,6.0
1110,jamix,,
1111,LouisDuclosGosselin,47.0,49.0
1112,Nambiar,17.0,19.0
1113,TEAM JF,44.0,48.0
1114,Jtd,12.0,3.0
1115,Caballero,209.0,180.0
1116,near_the_singularity,53.0,53.0
1117,Mabe,119.0,116.0
1118,LYA_TEAM,45.0,46.0
1119,Grokus,,
1120,Just_Like_That,231.0,233.0
1121,Robert,33.0,30.0
1122,skbunga,7.0,24.0
1123,JohnChachy,29.0,28.0
1124,Lucho Pulido,37.0,43.0
1125,Panochete El del Copete,10.0,20.0
1127,GnohZnutlll,108.0,92.0
1128,GERMAT,14.0,4.0
1129,idrago,15.0,9.0
1130,ciudad_inmovil plus naif_professor,2.0,16.0
1131,Team Blue,48.0,47.0
1132,AFelin,41.0,36.0
1133,Athanasopoulos et al benchmark,12.0,11.0
1134,InflectionPoint,21.0,40.0
1135,Oath_SIT,192.0,188.0
1136,Mr.Shimp,189.0,206.0
1137,rwrw,24.0,21.0
1138,Dirk Nachbar,29.0,32.0
1139,Robert,5.0,4.0
1140,k4knight,41.0,39.0
1142,Team Shasta,10.0,12.0
1143,404,49.0,90.0
1144,GoF,50.0,91.0
1145,leecbaker,1.0,2.0
1146,tea,89.0,90.0
1147,junpink,243.0,240.0
1148,lotusjinkun,208.0,207.0
1149,Just For Fun,16.0,15.0
1150,Tidy,125.0,41.0
1151,Wolf in sheeps clothing,171.0,172.0
1152,kapu,177.0,168.0
1153,HumptyDumpty,154.0,170.0
1154,Icevein,33.0,26.0
1155,jtrigg,17.0,17.0
1156,Buddha benchmark,216.0,218.0
1157,toe_dipper,168.0,169.0
1158,Fidel Furnace Skipcontrollers,217.0,219.0
1159,gps,25.0,22.0
1160,PG Vijay,28.0,27.0
1161,Random Benchmark,150.0,145.0
1162,Nan Zhou,1.0,4.0
1163,Bigi,225.0,211.0
1164,Webis,233.0,194.0
1165,littlefish,13.0,7.0
1166,Zie Brain,211.0,222.0
1167,sayani,14.0,13.0
1168,EloBraker,53.0,51.0
1169,trenderIy,126.0,138.0
1170,stratometrics,4.0,3.0
1171,closer,23.0,42.0
1172,DsA,218.0,220.0
1173,LOOCV,219.0,221.0
1174,Jon Guyer,185.0,183.0
1175,pivot,15.0,14.0
1176,gimbo,7.0,6.0
1177,Saeh,52.0,54.0
1178,idrago,6.0,5.0
1179,pug,16.0,3.0
1180,Stat,97.0,119.0
1181,NoIdea,70.0,72.0
1182,Soma,157.0,144.0
1183,RedJingle,144.0,162.0
1184,Data Diggers,39.0,37.0
1185,chance and necessity,182.0,190.0
1186,linkers,44.0,48.0
1187,pivot,21.0,18.0
1188,datalev,13.0,12.0
1189,Grokus,,
1190,Team Hien,32.0,37.0
1191,H. Solo,8.0,7.0
1192,Bobo,155.0,156.0
1193,Uncertainty Principle,83.0,61.0
1194,Ajsa,159.0,159.0
1195,Blattatinha,178.0,192.0
1196,MiningMaster,138.0,135.0
1197,SJ Ellis,162.0,171.0
1198,Dobrin,191.0,175.0
1199,3Sigma,18.0,16.0
1200,GoPlayer,99.0,95.0
1201,Zermelo,62.0,89.0
1203,W Team,124.0,74.0
1204,R2C,139.0,134.0
1205,Adriano,85.0,105.0
1206,Naif_professor,130.0,68.0
1207,jcl,35.0,56.0
1208,drg,156.0,163.0
1209,delta,94.0,140.0
1210,Robert,34.0,33.0
1211,Cnidarian,58.0,47.0
1212,jtdggt,127.0,107.0
1213,DayTrader,6.0,5.0
1214,LikeSushi,20.0,142.0
1215,dames,42.0,38.0
1216,gar3t,210.0,229.0
1217,numbo,39.0,41.0
1218,Soumik,29.0,26.0
1219,Arimaa Gameroom Rating System,43.0,40.0
1220,Allen_Zhou,19.0,145.0
1221,NoFreeParameters,236.0,235.0
1222,JAGC,78.0,106.0
1223,La Pata de Condorito 2010,42.0,43.0
1224,Team,119.0,103.0
1225,Thiagor,30.0,41.0
1226,Whatnot,220.0,223.0
1227,sly191919,139.0,143.0
1228,LYA,61.0,69.0
1229,OptiBrebs,84.0,84.0
1230,TeamBad,89.0,61.0
1231,maomiw,84.0,53.0
1232,FJ_TEAM,53.0,109.0
1233,Joe.l.lin,58.0,78.0
1234,JF_TEAM,63.0,129.0
1235,Elgin,76.0,112.0
1236,Passionalytics,23.0,17.0
1237,MiningRavi,87.0,46.0
1238,JMOJPD,43.0,98.0
1239,Knock,,
1240,SuperCorn,31.0,28.0
1241,JohnChachy,41.0,123.0
1242,Luis Manuel Pulido Moreno,54.0,115.0
1244,ANDRUVILLA,71.0,79.0
1245,ERICHESS,15.0,28.0
1246,SAM2009,145.0,141.0
1247,Braddon,33.0,29.0
1248,ams2009,47.0,36.0
1249,3idiots,36.0,35.0
1250,Hyper,221.0,191.0
1251,Groovy,80.0,64.0
1252,JustForFun,137.0,144.0
1253,toppy,180.0,228.0
1254,Montgomery,38.0,131.0
1255,abcd,,
1256,Erronka,199.0,199.0
1257,NYAlfred,52.0,128.0
1258,Evacuation Path,48.0,54.0
1259,Joe,135.0,143.0
1260,Team3256,128.0,125.0
1261,GLM Benchmark,41.0,39.0
1262,DataKiller,7.0,6.0
1263,Estrada,74.0,42.0
1264,unsown,131.0,95.0
1265,Julioxa69,60.0,60.0
1266,JavierV,144.0,99.0
1267,MarketMaker,32.0,29.0
1268,Dyakonov Alexander,2.0,8.0
1269,Drazen,22.0,21.0
1270,Solo,129.0,121.0
1271,image_doctor,102.0,102.0
1272,xli,12.0,11.0
1273,SURF,74.0,51.0
1274,atom,9.0,8.0
1275,SimplestModel,96.0,55.0
1276,MTech QROR,22.0,15.0
1277,Timo Alan,11.0,13.0
1278,Mission Impossible,101.0,84.0
1279,kkoo,33.0,30.0
1280,Contrate,50.0,45.0
1281,Dirk Nachbar,14.0,14.0
1282,UC Irvine,8.0,8.0
1283,BrazilDataHackers,50.0,50.0
1284,despicable lies,31.0,25.0
1285,JustGuessing,48.0,47.0
1286,Sklavit,248.0,247.0
1287,bayesTrees,33.0,33.0
1288,wcuk,149.0,148.0
1289,Nonsense,184.0,185.0
1291,ivank,6.0,7.0
1292,crystalball,11.0,10.0
1293,naif_professor plus ciudad_inmovil,37.0,33.0
1294,pivot,11.0,13.0
1295,cwb,76.0,64.0
1296,Guy,1.0,18.0
1297,iamkarp,2.0,36.0
1298,Z Boat,3.0,22.0
1299,Onsman,4.0,45.0
1300,StatoVIC,5.0,58.0
1301,jtrigg,6.0,61.0
1302,Monsters_Inc,7.0,9.0
1303,Paul Braddon,8.0,41.0
1304,VolesScoringGoals,9.0,15.0
1305,Tangas,10.0,13.0
1306,WingAndAPrayer,11.0,11.0
1307,Will Jones,12.0,37.0
1308,Unsophisticated Futbolmetrics,13.0,46.0
1309,BuryFC,14.0,10.0
1310,Julian,15.0,33.0
1311,sjus,16.0,24.0
1312,devondan,17.0,17.0
1313,Lima Pirates,18.0,43.0
1314,Team CJ,19.0,44.0
1315,Hustlers Emeritus,20.0,30.0
1316,Wangs World,21.0,34.0
1317,Dream Team,22.0,55.0
1318,ThisTimeMaybe,23.0,48.0
1319,Hand_of_Stats,24.0,3.0
1320,Tangerine Dreamer,25.0,21.0
1321,Worm,26.0,6.0
1322,KISS,27.0,39.0
1323,leaveIt2lever,28.0,12.0
1324,Turkish Delight,29.0,1.0
1325,Norwegian Computing Center,30.0,5.0
1326,Ismael,31.0,57.0
1327,HeinDonner,32.0,52.0
1329,Synchronised Diving,33.0,23.0
1330,GnohZnutlll,34.0,14.0
1331,emdelic,35.0,16.0
1332,T.T,36.0,38.0
1333,Botsphere,37.0,26.0
1334,ArtisConsulting,38.0,7.0
1335,arek,39.0,60.0
1336,Glen,40.0,56.0
1337,maiestas,41.0,35.0
1338,Team Bayesian,42.0,49.0
1339,TidalTV,43.0,63.0
1340,Rusty,44.0,51.0
1341,Rabb,45.0,8.0
1342,BIF,46.0,50.0
1343,HAMM,47.0,28.0
1344,Bernarus,48.0,32.0
1345,FT Alphaville,49.0,29.0
1346,Leafs,50.0,2.0
1347,PaloAltoBakaits,51.0,20.0
1348,Miha,52.0,54.0
1349,maven_messi,53.0,40.0
1350,Ruislip 1,54.0,31.0
1351,BayesForecast,55.0,27.0
1352,adip,56.0,47.0
1353,AZALF,57.0,19.0
1354,milo,58.0,42.0
1355,Scottish Amateur,59.0,59.0
1356,Team Usagi,60.0,53.0
1357,TransAtlantic,61.0,62.0
1358,image_doctor,62.0,25.0
1359,Team Joe,63.0,4.0
1361,QualityExcellence,35.0,35.0
1362,One Old Dog,1.0,1.0
1365,Andreas Koch,27.0,26.0
1366,inexorable,141.0,142.0
1370,Jesse Carlsson,9.0,9.0
1374,Jason Karpeles,38.0,35.0
1375,ben,18.0,36.0
1377,Rohan Ryan,51.0,48.0
1379,clay,247.0,249.0
1383,marcosgildavid,145.0,134.0
1389,Jonathan Ray,79.0,73.0
1391,Konrad Banachewicz,36.0,36.0
1392,Klemen Zalogar,34.0,34.0
1394,Alexander Daniels,244.0,244.0
1400,Rick Wampler,143.0,138.0
1401,Seyhan,22.0,23.0
1405,ROHAN LOBO,20.0,20.0
1406,GSZ,14.0,27.0
1408,Alexander,40.0,36.0
1409,Andriy,56.0,52.0
1414,JayBee,36.0,107.0
1417,Jonathan Day,245.0,245.0
1418,Machine,3.0,4.0
1427,Rick Gerkin,64.0,57.0
1429,t.weter,38.0,37.0
1430,test team,241.0,243.0
1433,Ranking Software,61.0,81.0
1434,benchmark,79.0,77.0
1435,sguram,164.0,165.0
1436,Random benchmark,116.0,110.0
1439,Nick,31.0,10.0
1440,Acumen,129.0,132.0
1441,Unbeatable,127.0,131.0
1442,RWeThereYet,27.0,27.0
1443,steffen,24.0,26.0
1444,Griffin Power,172.0,166.0
1446,Suzuki Lab,88.0,76.0
1448,teamD,9.0,9.0
1450,yilindai,40.0,40.0
1451,Sali Mali,3.0,1.0
1452,undefined,,
1453,Jeremy Howard,6.0,2.0
1454,PedroM,20.0,25.0
1455,TEsteR,153.0,153.0
1458,SFRank,29.0,31.0
1459,tagitagi,42.0,32.0
1460,Jon Lee,18.0,12.0
1461,just a guy in a garage,49.0,16.0
1462,Badger,101.0,77.0
1464,LouisDuclosGosselin,19.0,19.0
1465,User1,36.0,34.0
1466,Blar,30.0,28.0
1467,Joederttt,35.0,31.0
1468,Stephen,28.0,27.0
1469,Aaron,18.0,18.0
1470,Jacktoors,24.0,23.0
1473,AMP,17.0,31.0
1477,TeamE,70.0,68.0
1480,Chris DuBois,84.0,84.0
1483,Artem Dudarev,38.0,34.0
1485,zhechen zhu,181.0,210.0
1488,hcj,34.0,30.0
1489,hcj,105.0,111.0
1490,wcuk,2.0,2.0
1491,LWZ4,13.0,13.0
1492,Dennis,201.0,201.0
1493,Jon Lee,20.0,20.0
1494,yamamoto,38.0,33.0
1502,ZigZag,80.0,81.0
1504,Maxim,67.0,82.0
1506,Jeremy W,44.0,20.0
1508,igraph,65.0,63.0
1509,Crazy Cgul,113.0,92.0
1511,Prashant215,75.0,70.0
1515,dicmen,35.0,37.0
1518,Jeremy Howard,4.0,4.0
1521,gwezboell,169.0,174.0
1525,Graham Kendall,89.0,100.0
1526,hydra,86.0,87.0
1528,Alfonso E. Romero,101.0,95.0
1529,ken o,249.0,248.0
1530,fiducial,170.0,158.0
1532,Drew T.,222.0,224.0
1534,Armin Shmilovici,228.0,226.0
1535,Aleksey,69.0,66.0
1536,LittleBigDej,202.0,203.0
1537,Michael,230.0,231.0
1539,BGU,5.0,8.0
1542,Robert,23.0,21.0
1545,jacob,40.0,24.0
1546,bramboro,26.0,24.0
1547,Miracle,23.0,23.0
1549,segan,77.0,78.0
1550,TTT,94.0,70.0
1552,Newbie,102.0,104.0
1555,CXR,135.0,139.0
1558,JAV,7.0,5.0
1559,dahua,42.0,42.0
1561,mvp,8.0,7.0
1565,Greg V,83.0,83.0
1567,Delta,45.0,42.0
1568,Matrix,57.0,52.0
1569,kaigao,15.0,16.0
1570,Alexander Tsyplakov,13.0,16.0
1571,Joseph,21.0,19.0
1573,Gaurav Jain,96.0,106.0
1575,Benchmark,137.0,255.0
1577,eric,114.0,101.0
1578,eeric,100.0,99.0
1583,stratometric,51.0,49.0
1585,robinhood,58.0,59.0
1586,Dennis Jaheruddin,14.0,85.0
1591,Becky,143.0,256.0
1592,baseline,152.0,105.0
1599,jozzas,144.0,257.0
1602,Team Nick,41.0,31.0
1607,Rasmus Ulvund Svendsen,266.0,334.0
1608,PBnJay,186.0,288.0
1611,Lee Baker,191.0,197.0
1613,jdavidbush,145.0,258.0
1624,Jason,146.0,259.0
1632,Nikolay Petrov,245.0,242.0
1634,Dirk Nachbar,265.0,261.0
1637,StadeSchuldt,341.0,346.0
1638,Xploit,346.0,340.0
1639,Jon Lee,321.0,325.0
1643,Saul Hazledine,157.0,299.0
1644,Scott Vallance,149.0,262.0
1648,Daniel Hartmeier,147.0,200.0
1649,Flying Blind,138.0,248.0
1651,LITS,238.0,131.0
1656,Xiaoshi Lu,217.0,221.0
1659,car trouble,344.0,338.0
1660,Protoss,230.0,232.0
1661,introfini,195.0,202.0
1665,AntiScience,24.0,22.0
1668,UFRGS,206.0,211.0
1669,IFM Bioinformatics,159.0,89.0
1672,User,160.0,98.0
1676,mutants ftw,139.0,128.0
1677,Ed Ramsden,302.0,306.0
1681,valtron,204.0,287.0
1692,Hipoteza,1.0,6.0
1694,pivot,34.0,36.0
1697,socialResearch,276.0,264.0
1699,MZanin,88.0,88.0
1701,Eric Waller,331.0,339.0
1705,undefined,246.0,243.0
1706,SoundsOrange,207.0,122.0
1707,TC183,178.0,101.0
1708,Jeremy Howard,53.0,106.0
1714,Sean,240.0,187.0
1715,fguillem,23.0,14.0
1717,Christian S,30.0,29.0
1718,atararx,51.0,48.0
1721,teapot seven,130.0,102.0
1723,Dainis Zegners,193.0,177.0
1725,Dyakonov Alexander,7.0,7.0
1726,Pie,32.0,71.0
1727,Nigel,24.0,58.0
1730,Viktor,28.0,21.0
1733,rotest,30.0,29.0
1735,Rohan Ryan,163.0,116.0
1736,atest3,44.0,48.0
1737,Data Harvest,19.0,20.0
1739,Mousepotato,117.0,111.0
1743,Mixfits,282.0,274.0
1744,Xiaofeng Gong,22.0,27.0
1745,DILSHAN,45.0,44.0
1746,Gilles,336.0,341.0
1747,junction 34,244.0,125.0
1749,Richard Kirkby,288.0,272.0
1750,Chris Russell,21.0,21.0
1752,Mladen,,
1754,Henrik,166.0,170.0
1757,p4p4,257.0,169.0
1758,Team Cisonius,100.0,49.0
1759,Robert,197.0,204.0
1760,Sepahan,226.0,228.0
1762,Chao Cheng,28.0,28.0
1769,Sakuragi Hanamichi,14.0,14.0
1770,Levi Self,35.0,28.0
1771,Jesse,208.0,212.0
1772,Chen,117.0,108.0
1773,random_guess,73.0,75.0
1774,TSiSS,40.0,40.0
